,source_id,experiment_id,member_id,variable_id,file_name
240,IPSL-CM6A-LR,abrupt-4xCO2,r6i1p1f1,mlotst,manual_data/IPSL-CM6A-LR_abrupt-4xCO2_r6i1p1f1_mlotst.npy
241,MRI-ESM2-0,abrupt-4xCO2,r1i2p1f1,ts,manual_data/MRI-ESM2-0_abrupt-4xCO2_r1i2p1f1_ts.npy
242,MRI-ESM2-0,abrupt-4xCO2,r13i1p1f1,tos,manual_data/MRI-ESM2-0_abrupt-4xCO2_r13i1p1f1_tos.npy
243,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,hfds,manual_data/ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_hfds.npy
244,CanESM5,1pctCO2,r3i1p2f1,hfds,manual_data/CanESM5_1pctCO2_r3i1p2f1_hfds.npy
245,CanESM5,abrupt-4xCO2,r1i1p1f1,tos,manual_data/CanESM5_abrupt-4xCO2_r1i1p1f1_tos.npy
246,MRI-ESM2-0,abrupt-4xCO2,r4i1p1f1,ts,manual_data/MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_ts.npy
247,FGOALS-g3,1pctCO2,r2i1p1f1,rtmt,manual_data/FGOALS-g3_1pctCO2_r2i1p1f1_rtmt.npy
248,FGOALS-f3-L,abrupt-4xCO2,r1i1p1f1,mlotst,manual_data/FGOALS-f3-L_abrupt-4xCO2_r1i1p1f1_mlotst.npy
249,MIROC-ES2L,abrupt-4xCO2,r1i1p1f2,rtmt,manual_data/MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_rtmt.npy
250,CanESM5,1pctCO2,r2i1p2f1,rtmt,manual_data/CanESM5_1pctCO2_r2i1p2f1_rtmt.npy
251,HadGEM3-GC31-LL,1pctCO2,r2i1p1f3,rtmt,manual_data/HadGEM3-GC31-LL_1pctCO2_r2i1p1f3_rtmt.npy
252,CNRM-ESM2-1,1pctCO2,r2i1p1f2,tos,manual_data/CNRM-ESM2-1_1pctCO2_r2i1p1f2_tos.npy
253,MIROC-ES2L,abrupt-4xCO2,r1i1p1f2,ts,manual_data/MIROC-ES2L_abrupt-4xCO2_r1i1p1f2_ts.npy
